ID,Award Name,Organization,Purpose,Level of Study,Award Type,Award Amount,Deadline
9995705,Career Development Scholarships,Food Processing Suppliers Association,To attract and retain qualified personnel for the food processing industry.,"Bachelor's Degree
Graduate Degree",Scholarship,"$5,000 ",April
2015542,CareerVillage Scholarship,CareerVillage,To alleviate financial burdens for students by providing scholarships to support their educational expenses.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$1,500 ",April
9997629,Caribbean Hotel and Tourism Association Scholarship,Caribbean Hotel and Tourism Association,To support the education of Caribbean tourism industry personnel and students pursuing tourism & hospitality careers.,N/A,Scholarship,"$500
$5,000",April
9995767,Carl & Lucille Jarrett Scholarship Fund,First Community Foundation Partnership of Pennsylvania,To recognize a area high-schoolers pursuing higher education.,"Bachelor's Degree
High School",Scholarship,N/A,April
9998091,Carl A. Kroch Oxford Cup Memorial Scholarship,Beta Theta Pi,To financially assist Betas in pursuing college degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,175 ",April
9996405,Carl A. Scott Book Scholarship,Council on Social Work Education,"To recognize student who have demonstrated their commitment to promoting equity, racial, economic, and environmental justice in their social work careers.",Graduate Degree,"Prize
Scholarship",$500 ,April
9999776,Carl F. Scott Scholarship Fund for Tucumcari Lodge #27 A.F. &,Albuquerque Community Foundation,To providing assistance to New Mexico residents from Quay County to continue their post-secondary education.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$750
$2,000",April
9996513,Carl Joseph Walker-Hoover Scholarship Fund,Community Foundation of Western Massachusetts,"To provide college scholarships to graduating seniors from Franklin, Hampden and Hampshire Counties in western Massachusetts.","Associate Degree
Bachelor's Degree
Vocational",Scholarship,N/A,April
9996620,Carlos B. Ellis Scholarship Fund,Community Foundation of Western Massachusetts,To provide college scholarships to Springfield High School of Commerce.,"Associate Degree
Bachelor's Degree",Scholarship,"$3,000 ",April
9997627,Carnegie Observatories Graduate Research Fellowships,Carnegie Institution for Science,To support graduate students interested in carrying out all or part of their thesis research under the supervision of a Carnegie Staff member.,Graduate Degree,Fellowship,N/A,April
9996629,Carol Craig Scholarship Fund,Community Foundation of Western Massachusetts,"To provide college scholarships to residents of Hampden, Hampshire, or Franklin Counties.","Bachelor's Degree
Vocational",Scholarship,"$3,000 ",April
9993430,Carol DiMaiti Scholarship,Massachusetts Association of Women Lawyers,To promote Carol DiMaiti Scholarship has been awarded to a law student attending a Massachusetts law school.,Bachelor's Degree,Scholarship,"$1,000 ",April
9996526,Carol J. Taylor Scholarship Fund,Community Foundation of Western Massachusetts,To support graduates of Agawam High School who wish to attend college.,"Bachelor's Degree
Vocational",Scholarship,N/A,April
9993186,Carol June Bradley Award for Historical Research in Music,Music Library Association,To promote education involving the history of music libraries or special collections.,Professional Development,"Grant
Prize","$1,100 ",April
9998078,Caroline Previdi of Sandy Hook Elementary Memorial Scholarship,Beta Theta Pi,To support sons or daughters of Betas who are pursuing education degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,200 ",April
9997755,Carrell Hearn Memorial Scholarship,Canadian Hard of Hearing Association,To assist hard of hearing students pursuing postsecondary degrees.,"Bachelor's Degree
Graduate Degree
Vocational",Scholarship,"$1,000 ",April
9996814,Catherine & Helena Yeo Scholarship,Community Foundation of Prince Edward Island,"To support Prince County, PEI, students who are pursuing post-secondary studies.","Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9996499,CBC Spouses Education Scholarship,"Congressional Black Caucus Foundation, Inc.","To recognize academically talented and highly motivated African-American or Black students pursuing an undergraduate, graduate, or doctoral degrees in a variety of fields.","Bachelor's Degree
Graduate Degree
High School",Scholarship,"$2,500
$20,000",April
9995200,CBM Wildcat Education Scholarship,Greater Kansas City Community Foundation,To support graduates of Shawnee Mission School District who are pursuing college degrees in education.,Bachelor's Degree,Scholarship,$500 ,April
9996385,CCFA Student Research Fellowship Awards,Crohn's & Colitis Foundation,"To offer financial support for students to spend time performing research on topics relevant to Inflammatory Bowel Disease (IBD), or Crohn's disease and ulcerative colitis.","Bachelor's Degree
Graduate Degree","Fellowship
Grant
Prize","$2,500 ",April
9991990,Cecilia Rowan Memorial Fellowship,Ontario English Catholic Teachers Association,To support members seeking full-time study in religious education.,N/A,Fellowship,N/A,April
9997842,CEDF Scholarship Program,Canada Equipment Dealers Foundation,"To support the training, re-training, or advancement of employees or potential employees of Canadian farm, industrial and outdoor power equipment dealers.","Bachelor's Degree
Vocational",Scholarship,"$1,000 ",April
9995034,Center for the Study of World Religions Undergraduate Summer,"Center for the Study of World Religions
Harvard University",To support an undergraduate student in the senior thesis-related research during summer.,Bachelor's Degree,Grant,"$2,500 ",April
9997886,CGA Scholarships,California Groundwater Association,"To recognizes higher value scholarships for family, employees, and friends of any CGA member.",Bachelor's Degree,Scholarship,"$2,000
$4,000",April
9999405,Chaîne des Rôtisseurs Scholarships,American Culinary Federation,To provide financial assistance to those studying culinary arts.,Bachelor's Degree,Scholarship,"$2,500 ",April
9996827,Charles & Ethel McCardle Scholarship,Community Foundation of Prince Edward Island,To support PEI residents pursuing post-secondary education.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9995591,Charles Dobbins FTA Scholarship,Fur Takers of America,To promote interest in the accumulation and dissemination of knowledge concerning the trapping of fur bearing animals among persons interested therein.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,"$1,000 ",April
9996490,Charles DuBose Memorial Scholarship,Connecticut Architecture Foundation,To provide scholarship to students pursuing undergraduate or graduate degrees in architecture.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,200
$5,000",April
9996510,Charles F. Warner Scholarship Fund,Community Foundation of Western Massachusetts,"To provide college scholarships to residents of Springfield, MA.","Bachelor's Degree
Vocational",Scholarship,N/A,April
9998099,Charles Henry Hardin Memorial Scholarship,Beta Theta Pi,To financially assist Betas in pursuing undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,400 ",April
9990021,Charles Hutchins Educational Grant,Surface Mount Technology Association,"To encourage graduate students to pursue careers in the electronics industry, by developing closer ties between student research and the needs of the electronics manufacturing industry.",Graduate Degree,Grant,"$5,000 ",April
9995693,Charles W. Finkl Scholarships,Forging Industry Educational and Research Foundation,"To provide for college sophomores and juniors majoring in metallurgical, materials, mechanical, chemical, computer, electrical or industrial engineering at an accredited four-year college or university.",Bachelor's Degree,Scholarship,"$2,000 ",April
9998601,"Charles Zarigian, Esq. Memorial Award",Armenian Students' Association of America,To recognize college and graduate students.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9997563,Chartway Federal Credit Union Director's Memorial Scholarship,Chartway Federal Credit Union,To honored to uphold our vision of serving our communities.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$3,000 ",April
9995178,Chas Hall Memorial Scholarship,Greater Kansas City Community Foundation,To provide postsecondary scholarships to children or legal dependents of employees of the Murphy-Hoffman Company.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,$500 ,April
9989099,Chester Arzell and Helen Miller Montgomery Scholarship,Winston-Salem Foundation,"To provide scholarships to graduating high school seniors from public high schools in Stokes County, NC.","Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9991166,Chester Burger Scholarship for Excellence in Public Relations,Public Relations Society of America,To encourage graduate public relations students to pursue careers in corporate public relations.,Graduate Degree,Scholarship,"$1,000 ",April
9990515,Chevron Scholarship,Society of Hispanic Professional Engineers,"To support students pursuing undergraduate degrees in engineering, computer science, and geology/geophysics degrees.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$5,000 ",April
9989160,Chick Evans Caddie Scholarships,Western Golf Association,To help caddies to pursue education.,Bachelor's Degree,Scholarship,N/A,April
9994692,Chios Society of Philadelphia “Koraes” Scholarship,Hellenic University Club of Philadelphia,To support a students of Chios descent who is pursuing an undergraduate or graduate degree.,"Bachelor's Degree
Graduate Degree",Scholarship,"$3,000 ",April
9994148,Chiyoko and Thomas Shimazaki Scholarship,Japanese American Citizens League,To help qualified students nationwide to achieve their educational dreams in the field of medicine.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9999515,Chrétien International Research Grants,American Astronomical Society,To promote research or projects related to astronomy.,Graduate Degree,Grant,"$20,000 ",April
9996649,Christine Balch Memorial Scholarship Fund,Community Foundation of Western Massachusetts,To provide scholarships for students attending medical school.,Graduate Degree,Scholarship,"$3,000 ",April
9996542,Christine Mitus Rose Memorial Scholarship Fund,Community Foundation of Western Massachusetts,To provide college scholarships to students in Western Massachusetts who have a deceased parent.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,"$3,000 ",April
9997750,CHS James Kreppner Memorial Scholarship,Canadian Hemophilia Society,To recognize that a sound education is of utmost importance.,N/A,Scholarship,N/A,April
9994399,Chuck Pezzano Scholarship,International Bowling Media Association,To o students attending college or graduating high school seniors planning on attending college.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$5,000 ",April
9996328,CitizenshipTests.org Engineering and Science Scholarship,Deedal Studio Inc.,To provide financial assistance to engineering and science students with good academic standing and involvement in the community.,Bachelor's Degree,Scholarship,"$1,000 ",April
9990926,CLA/CP Scholarship,St. Louis Paralegal Association,To support legal assistants with their CP exam fees.,N/A,Scholarship,$750 ,April
9996575,Clarence H. Matteson Scholarship Fund,Community Foundation of Western Massachusetts,To provide scholarships to Greenfield residents pursuing postsecondary education.,"Bachelor's Degree
Vocational",Scholarship,"$3,000 ",April
9989103,Claude B. Hart Memorial Scholarship,Winston-Salem Foundation,"To provide scholarships to graduating high school seniors from Elkin High School in Elkin, NC who will major in mathematics or engineering in college.","Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9997882,CLCA Landscape Educational Advancement Foundation Scholarship,California Landscape Contractors Association,To provide financial assistance to landscape programs for special needs.,Associate Degree,Scholarship,N/A,April
9998108,Cleveland Alumni Association Scholarship,Beta Theta Pi,To financially assist Betas in pursuing undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,070 ",April
9999491,Clinician Scientist Development Grant (CSDG),American Cancer Society,To support junior faculty members to become independent investigators as either clinician scientists or cancer control researchers.,Professional Development,Grant,"$135,000 ",April
9991940,Coast Fork Scholarship,Oregon Community Foundation - Portland,"To provide postsecondary education support to students who have shown the ability to overcome barriers, especially those seeking to help others or better their environment.","Associate Degree
Bachelor's Degree
High School",Scholarship,N/A,April
9989279,"Cocke, Szpanka and Taylor Scholarships",Virginia Society of Certified Public Accountants,To financially support undergraduate accounting students.,Bachelor's Degree,Scholarship,"$3,000 ",April
9998071,Col. John R. Simpson Memorial Scholarship,Beta Theta Pi,To financially assist Betas in pursuing undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",April
9998072,Col. Richard R. (Misty) and Sally Shoop Scholarship,Beta Theta Pi,To financially assist Betas in pursuing undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,$800 ,April
9992640,Collegiate Farm Bureau Scholarship,Nebraska Farm Bureau,"To provides opportunities for students in leadership and citizenship engagement, career development, service learning and professional networking.",Bachelor's Degree,Scholarship,N/A,April
9995748,Colonel Hazel Elizabeth Benn Scholarship,Fleet Reserve Association,To honor the memory of one of the first active-duty female Marines selected for the permanent rank of colonel.,Bachelor's Degree,Scholarship,"$2,000 ",April
9997539,Community Involvement Scholarship,"Church, Langdon, Lopp, Banet Law",To encourage and reward individuals who are deeply involved in the community that surrounds them.,"Bachelor's Degree
High School",Scholarship,$500 ,April
9993848,Community Leadership in Justice Fellowship - The Law Foundation of,Law Foundation of Ontario,"To provide an gives nonprofit leaders a unique professional development opportunity to further their careers and their causes while building bridges between community and academia, leaving a lasting access to justice legacy for both.","Bachelor's Degree
Professional Development",Fellowship,N/A,April
9995065,Connecticut Mortgage Bankers Social Affairs Fund,Hartford Foundation for Public Giving,To help award hundreds of scholarships each year to local students seeking post-secondary higher education.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$3,000 ",April
9996535,Connie Celeste Sherman Memorial Scholarship Fund,Community Foundation of Western Massachusetts,To support Hampden County graduates who wish to pursue further education.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,N/A,April
9990996,Constant Memorial Scholarship,Rhode Island Foundation,"To recognize students from middle school to post-graduate level, from communities throughout the state, and in many different fields of study.",Bachelor's Degree,Scholarship,"$2,000
$5,000",April
2015556,Constellation Scholars,Constellation,"The Constellation Scholars program provides renewable $5,000/year scholarships to eligible high school seniors in Illinois, Maryland, New York, and Pennsylvania. 

Awards are renewable for up to five total years or until a bachelor's degree is earned, with a maximum total of $25,000 over five years.",Bachelor's Degree,Scholarship,"$5,000 ",April
9996680,Coral World Scholarship,Community Foundation of the Virgin Islands,To provide scholarships to USVI students pursuing undergraduate degrees.,Bachelor's Degree,Scholarship,"$2,500 ",April
9998241,Corris Boyd Scholarship,Association of University Programs in Health Administration,To support the education of students of color entering a graduate degree program.,Graduate Degree,Scholarship,"$40,000 ",April
9996619,Craig M. Epstein Memorial Scholarship Fund,Community Foundation of Western Massachusetts,To provide college scholarships to Longmeadow High School graduating seniors who participated in football or track and field.,"Bachelor's Degree
Vocational",Scholarship,"$3,000 ",April
9996391,Creative Soul Music School Scholarship,Creative Soul Music School,To encourage and contribute to music education.,"Graduate Degree
High School",Scholarship,$500 ,April
9999935,CSM Virgil R. Williams Scholarship,AFBA,"To support the education of EANGUS members, their spouses, and their unmarried children.",Bachelor's Degree,Scholarship,"$2,000 ",April
9995978,CSM Virgil R. Williams Scholarship,Enlisted Association of National Guard of the United States,"To support the education of EANGUS members, their spouses, and their unmarried children.",Bachelor's Degree,Scholarship,"$2,000 ",April
9989781,CSM Virgil R. Williams Scholarship,United Services Automobile Association,"To support the education of EANGUS members, their spouses, and their unmarried children.",Bachelor's Degree,Scholarship,"$2,000 ",April
9994690,Cyprus Society Scholarship,Hellenic University Club of Philadelphia,To provide a college scholarship to a student whose family are members in good standing of the Cyprus Society.,Bachelor's Degree,Scholarship,"$2,500 ",April
9989112,D.C. Cornelius Memorial Scholarship,Winston-Salem Foundation,"To provide scholarships to graduating high school seniors from Forbush High School in Yadkin County, NC to attend a technical or community college.","Associate Degree
High School",Scholarship,N/A,April
9998636,Dadour Dadourian Scholarship Fund,Armenian Students' Association of America,To recognize college and graduate students.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9995197,Dale I. and Emma Mae Crawford Scholarship,Greater Kansas City Community Foundation,To support students from Kansas who are attending Baker University.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9995196,Dale I. and Emma Mae Crawford Scholarship for Veterinary Medicine,Greater Kansas City Community Foundation,To support Kansas students studying at the College of Veterinary Medicine at Kansas State University.,Graduate Degree,Scholarship,N/A,April
9990121,Dale O. Heimberger CRNA Memorial Scholarship Fund,Stark Community Foundation,"To assist applicants accepted into The University of Akron, College of Nursing-Doctorate Anesthesia Program.","Bachelor's Degree
Graduate Degree",Scholarship,$500 ,April
9993630,Damato Adult Learners Scholarship,Manchester Scholarship Foundation,To provide for eligible adult students.,Bachelor's Degree,Scholarship,"$600
$2,000",April
9996522,Dan Trant Scholarship Fund,Community Foundation of Western Massachusetts,To provide college scholarships to Westfield student athletes.,Bachelor's Degree,Scholarship,N/A,April
9995770,Daniel G. and Helen I. Fultz Scholarship Fund,First Community Foundation Partnership of Pennsylvania,To recognize a area high-schoolers pursuing higher education.,"Bachelor's Degree
High School",Scholarship,N/A,April
9996353,DAPA Graduate Student Scholarship,Dallas Area Pharmacy Association,To offers scholarships to qualified Dallas Area students pursuing a career in pharmacy at an accredited school or college of pharmacy in Texas.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9996352,DAPA Undergraduate Student Scholarship,Dallas Area Pharmacy Association,To offers scholarships to qualified Dallas Area students pursuing a career in pharmacy at an accredited school or college of pharmacy in Texas.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9991937,Darlene Hooley Scholarship for Oregon Veterans,Oregon Community Foundation - Portland,To provide for students enrolling at an institution of higher education anywhere in the United States.,"Associate Degree
Bachelor's Degree",Scholarship,N/A,April
2015457,DashTickets Foundation Scholarship,DashTickets Foundation,"The DashTickets Foundation launched the merit awards to partially or fully
cover the educational expenses for an undergraduate student. The
scholarship is available for all European/American students who meet the
eligibility criteria. In todays interconnected world, entertainment plays
a crucial role in education. Whether through films, games, live
performances, or digital media, the blend of entertainment and education
Edutainment offers unique opportunities for learning and personal
growth.","Associate Degree
Bachelor's Degree",Scholarship,"$3,000 ",April
9999895,Dave Sauer Memorial College Scholarship,Air & Waste Management Association - Niagara Frontier Section,To support students in their educational pursuits.,"Bachelor's Degree
High School",Scholarship,"$500
$1,000",April
9996622,David “Davey” Duggan Memorial Scholarship Fund,Community Foundation of Western Massachusetts,To recognize and award Holyoke graduating seniors who have excelled at academic and athletics.,Bachelor's Degree,Scholarship,"$3,000 ",April
9990126,David A. and Pamela A. Gault Charitable Fund,Stark Community Foundation,To assists graduates of Stark County high schools or individuals who have been Stark County residents for at least five years.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9990115,David A. Kaiser Memorial Scholarship Fund,Stark Community Foundation,To provide scholarship assistance to qualified individuals who want to pursue their studies.,"Graduate Degree
High School",Scholarship,N/A,April
9989799,David Eaton Scholarship,Unitarian Universalist Association,To provide college financial support to women from a historically marginalized group who share the same vision as David Eaton.,Graduate Degree,Scholarship,N/A,April
9998845,David J. Hallissey Memorial Internships,American Society of Travel Agents,To encourage academic research in the tourism field.,"Bachelor's Degree
Graduate Degree",N/A,"$2,000 ",April
9998089,David Linton Memorial Scholarship,Beta Theta Pi,To help Betas pursue undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,300 ",April
9996666,David O’Connell Accounting Scholarship,Community Foundation of the Virgin Islands,To support students pursuing accounting degrees.,Bachelor's Degree,Scholarship,"$2,500 ",April
9989798,David Pohl Scholarship,Unitarian Universalist Association,"To supports the intellectual, spiritual, and professional development of individuals studying for Unitarian Universalist.",Graduate Degree,Scholarship,N/A,April
9992563,David West Memorial Scholarship,New Jersey Press Foundation,To support and recognize an outstanding collegiate journalist.,Bachelor's Degree,Scholarship,"$1,000 ",April
9996336,Davis Memorial Foundation Scholarship,Davis Memorial Foundation,To develop qualified professionals through education and to award those who have the desire to continue to improve their quality of life.,"Bachelor's Degree
Graduate Degree
Vocational",Scholarship,"$5,000 ",April
9999786,Davis-Kozoll Scholarship,Albuquerque Community Foundation,"To provide for high school, undergraduate, and graduate students pursuing a degree in science or human services, or those who are preparing for non-scientific or human service employment in communities of northwest New Mexico.","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,"$1,000
$5,000",April
9989093,Dean Prim Scholarship Fund,Winston-Salem Foundation,"To support students from Davie, Forsyth, or Yadkin County high schools in NC who are pursuing post-secondary education.","Bachelor's Degree
High School",Scholarship,N/A,April
9996611,Deborah Brodeur Foley Memorial Scholarship Fund,Community Foundation of Western Massachusetts,To provide college scholarships from Minnechaug Regional High School graduating seniors pursuing degrees in nursing and allied health.,Bachelor's Degree,Scholarship,"$3,000 ",April
9994704,Deborah Munroe Noonan Memorial Research Fund,Health Resources in Action,To support innovative clinical and service system research and demonstration projects from both nonprofit organizations and academic institutions that serve children with physical or developmental disabilities and associated health-related complications.,N/A,Grant,"$80,000
$160,000",April
9998106,Delta Tau Scholarship,Beta Theta Pi,To financially assist Betas in pursuing undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,$725 ,April
9996287,Denver Scholarship Foundation General Scholarship Fund,Denver Scholarship Foundation,To inspire and empower Denver Public School (DPS) students to achieve their post-secondary goals.,Graduate Degree,Scholarship,N/A,April
9996253,DEPS Graduate Research Grant Awards,Directed Energy Professional Society,To provide support of research and development of DE technology.,Graduate Degree,Scholarship,"$10,000 ",April
9996346,DFA Production Grant,Dance Films Association,To support dance film productions.,Professional Development,Grant,"$500
$2,500",April
9996618,Diana and Leon Feffer Scholarship Fund,Community Foundation of Western Massachusetts,"To provide scholarships to residents of Hampden, Hampshire or Franklin Counties.","Bachelor's Degree
Vocational",Scholarship,"$3,000 ",April
9996798,Dick Depaolis Memorial Scholarship,Community Foundation for Southeast Michigan,"To provide for graduating seniors of North Farmington High School who are scholar-athletes and planning to major in liberal studies, particularly history and English.",Bachelor's Degree,Scholarship,N/A,April
9996626,Dietz & Company Architects Scholarship Fund,Community Foundation of Western Massachusetts,To support Western Massachusetts residents pursuing undergraduate or graduate degrees in architecture.,"Bachelor's Degree
Graduate Degree",Scholarship,"$3,000 ",April
9998613,Dikran Missirlian Scholarship Grant,Armenian Students' Association of America,To recognize college and graduate students.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9994677,Dimitri J. Ververelli Memorial Scholarship for Architecture and/or,Hellenic University Club of Philadelphia,To offer a qualified student pursuing a degree in the field of Architecture or Engineering.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$3,000 ",April
9996624,Dinn Brothers Student Athlete Award Fund,Community Foundation of Western Massachusetts,To recognize and award Western Massachusetts student athletes.,Bachelor's Degree,Scholarship,"$3,000 ",April
9996679,Dish Fund Scholarship,Community Foundation of the Virgin Islands,"To support a St. Thomas student pursing an undergraduate degree in early childhood, child and family studies or culinary arts.",Bachelor's Degree,Scholarship,"$2,500 ",April
2015551,Dominion Energy Educational Equity Scholarship,Dominion Energy,"The Dominion Energy Educational Equity Scholarship Program was established to assist students residing in Connecticut, Virginia, Maryland, North Carolina, South Carolina, or West Virginia who plan to continue their education in college or vocational school programs. 

Up to 20 awards for students in 2-year schools and at least 40 awards for students in 4-year schools.","Associate Degree
Bachelor's Degree",Scholarship,"$5
$10,000",April
9999855,Don Fox Memorial Scholarship,Alamogordo Music Theatre,To help students pay for their education.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9990229,Donald A. Williams Soil Conservation Scholarship,Soil and Water Conservation Society,"To provide financial assistance to members of SWCS who are currently employed, but who wish to improve their technical or administrative competence in a conservation-related field through course work at an accredited college or through a program of special study.",Professional Development,Scholarship,"$1,000 ",April
9995672,Donald H. Bernstein and John B. Talbert Jr. Scholarship,Foundation for the Carolinas,"To provide undergraduate scholarships to the children of employees of Hanes Companies, Inc., USA.","Bachelor's Degree
High School",Scholarship,N/A,April
9992910,Dondiego Family Youth Scholarship Fund,National Foster Parent Association,To support youth adopted through foster care in pursuing higher education.,High School,Scholarship,$500 ,April
9991995,Doreen Brady Memorial Scholarship,Ontario English Catholic Teachers Association,To financially assist members with their full-time post-graduate study.,"Bachelor's Degree
Professional Development",Scholarship,N/A,April
9996647,Doris G. Robitaille Beauregard Scholarship for Nursing Students Fund,Community Foundation of Western Massachusetts,To support students pursuing postsecondary education in the field of nursing.,Bachelor's Degree,Scholarship,N/A,April
9995470,Dorothea E. Allen Scholarship,Girls Incorporated of the Greater Capital Region,"To recognize an individuals for the pursuit of a course of study, special learning experience or a training program that will develop a talent or ability that will benefit the community and the country.",High School,Scholarship,N/A,April
9995052,Dorothy E. Hofmann Pembroke Scholarship,Hartford Foundation for Public Giving,To help award hundreds of scholarships each year to local students seeking post-secondary higher education.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9998979,Dorothy Morrison Undergraduate Scholarships,American Society for Clinical Laboratory Science,To provide financial assistance to undergraduates pursuing degrees in clinical laboratory sciences.,Bachelor's Degree,Scholarship,N/A,April
9996225,Dotcom-Monitor Women in Computing Scholarship,"Dotcom-Monitor, Inc.",To encourage and support female undergraduate students who are pursuing careers in computing by assisting them with the rising cost of higher education.,Bachelor's Degree,Scholarship,"$1,000 ",April
9999788,Douglas Faust Blackledge Memorial Scholarship,Albuquerque Community Foundation,To providing assistance to Manzano High School boys varsity soccer players and members of the varsity wrestling team; For Manzano High School students only.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9989101,Douglas Gray Kimel Scholarship Fund,Winston-Salem Foundation,To provide scholarships to students in Forsyth County seeking a degree in Music.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9998080,Douglas J. Neeley Memorial Scholarship,Beta Theta Pi,To financially assist Betas in completing their undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,350 ",April
9998096,"Douglas W. Hill, Jr. Scholarship",Beta Theta Pi,To financially assist Betas in pursuing undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,175 ",April
9995054,Dr. Frank and Florence Marino Scholarship,Hartford Foundation for Public Giving,To help award hundreds of scholarships each year to local students seeking post-secondary higher education.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000
$2,000",April
9996837,Dr. Gerry Barrett Dental Association of PEI Legacy Fund Scholarship,Community Foundation of Prince Edward Island,To support dental students at Dalhousie University.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9998604,Dr. Harry Jeffrey Tourigian Memorial Grant,Armenian Students' Association of America,To recognize college and graduate students.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9998608,Dr. Henry Seneca Charitable Trust Scholarship,Armenian Students' Association of America,To recognize college and graduate students.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9993637,Dr. Howard L. Bowen Scholarship,Maine State Employees Association,To support students who have one of the following relationships with a dues-paying.,Bachelor's Degree,Scholarship,"$1,000 ",April
9990122,Dr. James H. Heckman Memorial Scholarship Fund,Stark Community Foundation,To assist Hoover High School graduates planning to pursue a four-year degree program in any field of study.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,N/A,April
9995595,Dr. John Richter Scholarship,Friends of the Jordan River Watershed,To support students graduating from schools in the Lake Charlevoix watershed who are planning to pursue degrees in environmental studies.,Bachelor's Degree,Scholarship,"$1,000 ",April
9996537,Dr. John V. Shea Jr. Scholarship Fund,Community Foundation of Western Massachusetts,To provide support to Springfield high school graduates who are pursuing college education.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,N/A,April
9994147,Dr. Kiyoshi Sonoda Memorial Scholarship,Japanese American Citizens League,To provide financial assistance to members pursuing degrees in dentistry.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,April
9998094,Dr. Marshall E. Hollis Scholarship,Beta Theta Pi,To financially assist Betas in pursuing undergraduate and graduate degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,$475 ,April
9994689,Dr. Michael Dorizas Memorial Scholarships,Hellenic University Club of Philadelphia,To provide scholarship for students with outstanding academic qualifications and financial need.,"Bachelor's Degree
Graduate Degree",Scholarship,"$5,000 ",April
9995051,Dr. Nicholas J. Piergrossi Memorial Scholarship,Hartford Foundation for Public Giving,To help award hundreds of scholarships each year to local students seeking post-secondary higher education.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000 ",April
9994681,Dr. Nicholas Padis Memorial Graduate Scholarship,Hellenic University Club of Philadelphia,To provide educational support to students of Greek descent who are pursuing graduate degrees.,"Bachelor's Degree
Graduate Degree
Professional Development",Scholarship,"$5,000 ",April
9994679,Dr. Peter A. Theodos Memorial Graduate Scholarship,Hellenic University Club of Philadelphia,To offered to a qualified student pursuing studies leading to a Doctor of Medicine (MD) Degree.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,500 ",April
9999432,Dr. Richard M. Hunt Fellowships,American Council on Germany,"To provide for the Study of German Politics, Society, and Culture.",Professional Development,Fellowship,"$7,500 ",April
9995050,Dr. Sidney Rafal Memorial Scholarship,Hartford Foundation for Public Giving,To provide assistance to students who are attending the University of Connecticut School of Dental Medicine.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,"$500
$1,000",April
